pair,layer,condition,n_positions,transfer_rate,preserve_rate,neither_rate
first_letter_repeat_word,8,all_demo,30,0.8,0.0,0.2
first_letter_repeat_word,8,input_only,15,0.0,1.0,0.0
first_letter_repeat_word,8,output_only,15,0.0,0.0,1.0
first_letter_repeat_word,8,last_demo,6,0.0,1.0,0.0
first_letter_repeat_word,12,all_demo,30,0.0,0.0,1.0
first_letter_repeat_word,12,input_only,15,0.0,1.0,0.0
first_letter_repeat_word,12,output_only,15,0.0,0.0,1.0
first_letter_repeat_word,12,last_demo,6,0.0,1.0,0.0
first_letter_repeat_word,15,all_demo,30,0.0,0.0,1.0
first_letter_repeat_word,15,input_only,15,0.0,1.0,0.0
first_letter_repeat_word,15,output_only,15,0.0,0.0,1.0
first_letter_repeat_word,15,last_demo,6,0.0,1.0,0.0
first_letter_repeat_word,17,all_demo,30,0.0,0.0,1.0
first_letter_repeat_word,17,input_only,15,0.0,1.0,0.0
first_letter_repeat_word,17,output_only,15,0.0,0.4,0.6
first_letter_repeat_word,17,last_demo,6,0.0,1.0,0.0
uppercase_sentiment,8,all_demo,34,0.0,0.0,1.0
uppercase_sentiment,8,input_only,15,0.0,0.5,0.5
uppercase_sentiment,8,output_only,19,0.0,0.0,1.0
uppercase_sentiment,8,last_demo,7,0.0,0.0,1.0
uppercase_sentiment,12,all_demo,34,0.0,0.0,1.0
uppercase_sentiment,12,input_only,15,0.0,0.9,0.1
uppercase_sentiment,12,output_only,19,0.0,0.0,1.0
uppercase_sentiment,12,last_demo,7,0.0,0.0,1.0
uppercase_sentiment,15,all_demo,34,0.0,0.2,0.8
uppercase_sentiment,15,input_only,15,0.0,1.0,0.0
uppercase_sentiment,15,output_only,19,0.0,0.1,0.9
uppercase_sentiment,15,last_demo,7,0.0,0.0,1.0
uppercase_sentiment,17,all_demo,34,0.0,0.0,1.0
uppercase_sentiment,17,input_only,15,0.0,1.0,0.0
uppercase_sentiment,17,output_only,19,0.0,0.1,0.9
uppercase_sentiment,17,last_demo,7,0.0,0.2,0.8
linear_2x_length,8,all_demo,43,0.0,0.0,1.0
linear_2x_length,8,input_only,20,0.0,0.0,1.0
linear_2x_length,8,output_only,23,0.0,0.0,1.0
linear_2x_length,8,last_demo,9,0.0,0.0,1.0
linear_2x_length,12,all_demo,43,0.0,0.0,1.0
linear_2x_length,12,input_only,20,0.0,1.0,0.0
linear_2x_length,12,output_only,23,0.0,0.0,1.0
linear_2x_length,12,last_demo,9,0.0,0.9,0.1
linear_2x_length,15,all_demo,43,0.0,0.0,1.0
linear_2x_length,15,input_only,20,0.0,1.0,0.0
linear_2x_length,15,output_only,23,0.0,0.0,1.0
linear_2x_length,15,last_demo,9,0.0,0.9,0.1
linear_2x_length,17,all_demo,43,0.0,0.0,1.0
linear_2x_length,17,input_only,20,0.0,0.7,0.3
linear_2x_length,17,output_only,23,0.0,0.0,1.0
linear_2x_length,17,last_demo,9,0.0,0.9,0.1
sentiment_antonym,8,all_demo,30,0.0,0.0,1.0
sentiment_antonym,8,input_only,15,0.0,1.0,0.0
sentiment_antonym,8,output_only,15,1.0,0.0,0.0
sentiment_antonym,8,last_demo,6,0.0,0.0,1.0
sentiment_antonym,12,all_demo,30,0.9,0.0,0.1
sentiment_antonym,12,input_only,15,0.0,1.0,0.0
sentiment_antonym,12,output_only,15,1.0,0.0,0.0
sentiment_antonym,12,last_demo,6,0.0,0.0,1.0
sentiment_antonym,15,all_demo,30,1.0,0.0,0.0
sentiment_antonym,15,input_only,15,0.0,1.0,0.0
sentiment_antonym,15,output_only,15,0.2,0.0,0.8
sentiment_antonym,15,last_demo,6,0.0,0.0,1.0
sentiment_antonym,17,all_demo,30,0.3,0.0,0.7
sentiment_antonym,17,input_only,15,0.0,1.0,0.0
sentiment_antonym,17,output_only,15,0.0,0.0,1.0
sentiment_antonym,17,last_demo,6,0.0,0.0,1.0
