pair,layer,condition,n_positions,transfer_rate,preserve_rate,neither_rate
uppercase_sentiment,9,output_only,19,0.0,0.3,0.7
uppercase_sentiment,9,last_demo,7,0.0,0.3,0.7
linear_2x_length,5,all_demo,40,0.0,0.0,1.0
linear_2x_length,5,input_only,20,0.0,0.6,0.4
linear_2x_length,5,output_only,20,0.0,0.1,0.9
linear_2x_length,5,last_demo,8,0.0,0.0,1.0
linear_2x_length,7,all_demo,40,0.0,0.0,1.0
linear_2x_length,7,input_only,20,0.0,1.0,0.0
linear_2x_length,7,output_only,20,0.0,0.1,0.9
linear_2x_length,7,last_demo,8,0.0,0.1,0.9
linear_2x_length,8,all_demo,40,0.0,0.0,1.0
linear_2x_length,8,input_only,20,0.0,1.0,0.0
linear_2x_length,8,output_only,20,0.0,0.1,0.9
linear_2x_length,8,last_demo,8,0.0,0.1,0.9
linear_2x_length,9,all_demo,40,0.0,0.0,1.0
linear_2x_length,9,input_only,20,0.0,1.0,0.0
linear_2x_length,9,output_only,20,0.0,0.1,0.9
linear_2x_length,9,last_demo,8,0.0,0.1,0.9
sentiment_antonym,5,all_demo,30,0.2,0.2,0.6
sentiment_antonym,5,input_only,15,0.0,0.9,0.1
sentiment_antonym,5,output_only,15,0.0,0.8,0.2
sentiment_antonym,5,last_demo,6,0.0,1.0,0.0
sentiment_antonym,7,all_demo,30,0.0,0.9,0.1
sentiment_antonym,7,input_only,15,0.0,1.0,0.0
sentiment_antonym,7,output_only,15,0.0,0.9,0.1
sentiment_antonym,7,last_demo,6,0.0,1.0,0.0
sentiment_antonym,8,all_demo,30,0.0,1.0,0.0
sentiment_antonym,8,input_only,15,0.0,1.0,0.0
sentiment_antonym,8,output_only,15,0.0,0.9,0.1
sentiment_antonym,8,last_demo,6,0.0,1.0,0.0
sentiment_antonym,9,all_demo,30,0.0,1.0,0.0
sentiment_antonym,9,input_only,15,0.0,1.0,0.0
sentiment_antonym,9,output_only,15,0.0,1.0,0.0
sentiment_antonym,9,last_demo,6,0.0,1.0,0.0
